Date,KOSPI_Close,KOSPI_Open,KOSPI_High,KOSPI_Low,SP500,USD_KRW,US_10Y_Bond,VIX,KOSPI_Volume
2005-01-03,893.7100219726562,896.0,897.5900268554688,890.9299926757812,1202.0799560546875,1027.300048828125,4.21999979019165,14.079999923706055,252600.0
2005-01-04,886.9000244140625,890.5599975585938,895.4000244140625,884.9400024414062,1188.050048828125,1028.699951171875,4.2829999923706055,13.979999542236328,331600.0
2005-01-05,885.1900024414062,874.9199829101562,885.2000122070312,873.1799926757812,1183.739990234375,1035.800048828125,4.2769999504089355,14.09000015258789,343100.0
2005-01-06,871.280029296875,878.22998046875,886.3099975585938,871.280029296875,1187.8900146484375,1048.4000244140625,4.271999835968018,13.579999923706055,394700.0
2005-01-07,870.8400268554688,876.3599853515625,878.8900146484375,866.719970703125,1186.18994140625,1045.0999755859375,4.284999847412109,13.489999771118164,294800.0
2005-01-10,874.1799926757812,872.8200073242188,875.0,866.1699829101562,1190.25,1011.5999755859375,4.2779998779296875,13.229999542236328,276000.0
2005-01-11,884.2899780273438,874.7899780273438,884.2899780273438,869.9099731445312,1182.989990234375,1034.5999755859375,4.24399995803833,13.1899995803833,364400.0
2005-01-12,880.030029296875,884.469970703125,886.7899780273438,878.030029296875,1187.699951171875,1033.300048828125,4.236000061035156,12.5600004196167,321600.0
2005-01-13,885.5399780273438,881.3900146484375,886.72998046875,876.719970703125,1177.449951171875,1028.300048828125,4.186999797821045,12.84000015258789,290700.0
2005-01-14,905.0999755859375,879.8300170898438,905.52001953125,877.4400024414062,1184.52001953125,1042.9000244140625,4.216000080108643,12.430000305175781,356800.0
2005-01-17,923.0800170898438,915.219970703125,925.010009765625,912.6799926757812,1184.52001953125,1035.5999755859375,4.216000080108643,12.430000305175781,416700.0
2005-01-18,920.5700073242188,923.52001953125,926.8499755859375,920.0800170898438,1195.97998046875,1035.699951171875,4.195000171661377,12.470000267028809,432800.0
2005-01-19,916.27001953125,923.3599853515625,926.7100219726562,914.2999877929688,1184.6300048828125,1030.699951171875,4.186999797821045,13.180000305175781,415600.0
2005-01-20,909.3699951171875,910.4000244140625,914.9299926757812,907.510009765625,1175.4100341796875,1033.06005859375,4.164999961853027,13.829999923706055,467100.0
2005-01-21,919.6099853515625,910.0399780273438,920.3499755859375,906.22998046875,1167.8699951171875,1037.800048828125,4.142000198364258,14.359999656677246,463500.0
2005-01-24,923.1099853515625,918.2100219726562,928.52001953125,911.75,1163.75,1032.1600341796875,4.122000217437744,14.649999618530273,527600.0
2005-01-25,915.0999755859375,915.9400024414062,918.0800170898438,911.260009765625,1168.4100341796875,1032.1600341796875,4.189000129699707,14.0600004196167,486500.0
2005-01-26,927.0,918.75,930.2000122070312,917.0900268554688,1174.0699462890625,1032.1600341796875,4.191999912261963,13.4399995803833,492300.0
2005-01-27,924.8699951171875,928.6699829101562,930.5900268554688,920.9299926757812,1174.550048828125,1027.9000244140625,4.206999778747559,13.239999771118164,500500.0
2005-01-28,921.5900268554688,924.0900268554688,924.9099731445312,915.739990234375,1171.3599853515625,1023.7999877929688,4.138000011444092,13.239999771118164,393200.0
2005-01-31,932.7000122070312,920.989990234375,934.0999755859375,920.989990234375,1181.27001953125,1025.4100341796875,4.132999897003174,12.819999694824219,466800.0
2005-02-01,923.6900024414062,930.1599731445312,931.8599853515625,923.0800170898438,1189.4100341796875,1027.81005859375,4.136000156402588,12.029999732971191,434700.0
2005-02-02,921.4400024414062,925.97998046875,926.5399780273438,918.4400024414062,1193.18994140625,1027.9000244140625,4.139999866485596,11.65999984741211,453700.0
2005-02-03,928.7899780273438,922.4299926757812,930.72998046875,921.0399780273438,1189.8900146484375,1025.0999755859375,4.163000106811523,11.789999961853027,398300.0
2005-02-04,933.5499877929688,928.2100219726562,936.4500122070312,926.0999755859375,1203.030029296875,1022.7000122070312,4.072999954223633,11.210000038146973,385500.0
2005-02-07,949.1900024414062,942.1500244140625,949.4500122070312,941.1400146484375,1201.719970703125,1028.699951171875,4.052000045776367,11.729999542236328,421400.0
2005-02-08,949.1900024414062,942.1500244140625,949.4500122070312,941.1400146484375,1202.300048828125,1035.9000244140625,4.0370001792907715,11.600000381469727,0.0
2005-02-09,949.1900024414062,942.1500244140625,949.4500122070312,941.1400146484375,1191.989990234375,1037.9000244140625,3.9769999980926514,12.0,0.0
2005-02-10,949.1900024414062,942.1500244140625,949.4500122070312,941.1400146484375,1197.010009765625,1038.800048828125,4.072999954223633,11.510000228881836,0.0
2005-02-11,947.22998046875,944.280029296875,947.9400024414062,936.1699829101562,1205.300048828125,1032.800048828125,4.09499979019165,11.430000305175781,382000.0
